"ogc_fid";"shape_wkt";"akronym";"lokalitetskode";"navn";"kms_id"
1;"POINT (-45.241451 60.150465)";"NAN";"0100";"Nanortalik                    ";81
2;"POINT (-46.038889 60.721121)";"QAQ";"0200";"Qaqortoq                      ";87
3;"POINT (-46.04162 60.915566)";"NAR";"0300";"Narsaq                        ";91
4;"POINT (-49.648761 62.005112)";"PAA";"0500";"Paamiut                       ";96
5;"POINT (-51.725921 64.179532)";"NUK";"0600";"Nuuk                          ";98
6;"POINT (-52.887081 65.420326)";"MAN";"0700";"Maniitsoq                     ";101
7;"POINT (-53.670262 66.936937)";"SIS";"0800";"Sisimiut                      ";105
8;"POINT (-53.456052 68.309562)";"KAT";"0900";"Kangaatsiaq                   ";108
9;"POINT (-52.852381 68.707845)";"AAS";"1000";"Aasiaat                       ";113
10;"POINT (-51.195446 68.82369)";"QAS";"1100";"Qasigiannguit                 ";116
11;"POINT (-51.096164 69.211983)";"ILU";"1200";"Ilulissat                     ";118
12;"POINT (-53.522829 69.252603)";"QEQ";"1400";"Qeqertarsuaq                  ";123
13;"POINT (-52.134912 70.68237)";"UUM";"1500";"Uummannaq                     ";125
14;"POINT (-56.137679 72.783474)";"UPV";"1600";"Upernavik                     ";133
15;"POINT (-69.163411 77.466945)";"QNQ";"1700";"Qaanaaq                       ";144
16;"POINT (-37.635179 65.602059)";"TAS";"1800";"Tasiilaq                      ";148
17;"POINT (-21.957904 70.49252)";"ILT";"1900";"Ittoqqortoormiit              ";154
