"ogc_fid";"shape_wkt";"akronym";"lokalitetskode";"navn";"kms_id"
4;"POINT (-45.380375 60.597361)";"AMS";"0106";"Ammassivik                    ";85
5;"POINT (-45.567544 60.46379)";"ALP";"0108";"Alluitsup Paa                 ";86
6;"POINT (-46.005582 60.548176)";"SAL";"0201";"Saarloq                       ";88
7;"POINT (-45.909158 60.625301)";"EQA";"0202";"Eqalugaarsuit                 ";89
8;"POINT (-47.160025 60.779736)";"QSM";"0204";"Qassimiut                     ";90
9;"POINT (-45.433661 60.991607)";"IGA";"0302";"Igaliku                       ";92
10;"POINT (-45.511984 61.149965)";"QSK";"0305";"Qassiarsuk                    ";93
11;"POINT (-45.390806 61.170242)";"NRS";"0321";"Narsarsuaq                    ";94
12;"POINT (-48.147932 61.207732)";"IVI";"0400";"Ivittuut                      ";95
13;"POINT (-48.43539 61.184964)";"ARS";"0501";"Arsuk                         ";97
14;"POINT (-50.676824 63.086741)";"QTT";"0601";"Qeqertarsuatsiaat             ";99
15;"POINT (-50.268959 64.428033)";"KAP";"0605";"Kapisillit                    ";100
16;"POINT (-52.175238 64.806106)";"ATA";"0701";"Atammik                       ";102
17;"POINT (-52.382583 65.054237)";"NAP";"0702";"Napasoq                       ";103
18;"POINT (-53.346928 65.828007)";"KAM";"0703";"Kangaamiut                    ";104
19;"POINT (-53.504722 66.577736)";"ITI";"0801";"Itilleq                       ";106
20;"POINT (-52.862365 66.895916)";"SFN";"0803";"Sarfannguit                   ";107
21;"POINT (-53.625268 67.94073)";"ATT";"0902";"Attu                          ";109
22;"POINT (-53.175749 68.148539)";"IGF";"0905";"Iginniarfik                   ";110
23;"POINT (-52.858786 68.236115)";"NQK";"0906";"Niaqornaarsuk                 ";111
24;"POINT (-53.449946 68.139892)";"IKS";"0908";"Ikerasaarsuk                  ";112
25;"POINT (-52.336377 68.743124)";"AKU";"1003";"Akunnaaq                      ";114
26;"POINT (-53.118674 68.859529)";"KIT";"1004";"Kitsissuarsuit                ";115
27;"POINT (-51.82741 68.635189)";"IKA";"1101";"Ikamiut                       ";117
28;"POINT (-51.004507 69.341914)";"OQA";"1201";"Oqaatsut                      ";119
29;"POINT (-51.305205 69.997781)";"QQT";"1202";"Qeqertaq                      ";120
30;"POINT (-51.95941 70.009835)";"SQQ";"1203";"Saqqaq                        ";121
31;"POINT (-51.114584 69.078057)";"ILQ";"1204";"Ilimanaq                      ";122
32;"POINT (-53.946534 69.485872)";"KLK";"1403";"Kangerluk                     ";124
33;"POINT (-53.662295 70.79002)";"NIA";"1501";"Niaqornat                     ";126
34;"POINT (-52.689824 70.741447)";"QST";"1502";"Qaarsut                       ";127
35;"POINT (-51.299807 70.502115)";"IKE";"1503";"Ikerasak                      ";128
36;"POINT (-51.627749 70.809225)";"SAA";"1504";"Saattut                       ";129
37;"POINT (-51.889344 71.049948)";"UKK";"1505";"Ukkusissat                    ";130
38;"POINT (-53.549346 71.239722)";"ILL";"1506";"Illorsuit                     ";131
39;"POINT (-53.196165 71.536829)";"NUG";"1507";"Nuugaatsiaq                   ";132
40;"POINT (-55.534865 72.157138)";"UPK";"1601";"Upernavik Kujalleq            ";134
41;"POINT (-55.543555 72.379111)";"KAQ";"1602";"Kangersuatsiaq                ";135
42;"POINT (-55.599071 72.882961)";"AAP";"1603";"Aappilattoq                   ";136
43;"POINT (-56.166361 73.053882)";"TUS";"1604";"Tussaaq                       ";137
44;"POINT (-56.059294 73.373172)";"TSS";"1605";"Tasiusaq                      ";138
45;"POINT (-57.066085 74.109592)";"NUS";"1606";"Nuussuaq                      ";139
46;"POINT (-57.229226 74.577525)";"KLQ";"1607";"Kullorsuaq                    ";140
47;"POINT (-55.815891 73.142132)";"NAJ";"1608";"Naajaat                       ";141
48;"POINT (-56.015183 73.198005)";"INN";"1609";"Innaarsuit                    ";142
49;"POINT (-56.430858 73.516093)";"NUT";"1610";"Nutaarmiut                    ";143
50;"POINT (-65.035826 76.017878)";"SAV";"1701";"Savissivik                    ";145
51;"POINT (-70.639249 77.791562)";"SIO";"1704";"Siorapaluk                    ";146
52;"POINT (-69.830338 76.759646)";"MOR";"1706";"Moriusaq                      ";147
53;"POINT (-36.379907 65.913218)";"SML";"1802";"Sermiligaaq                   ";149
55;"POINT (-37.180054 65.568549)";"KUL";"1804";"Kulusuk                       ";151
57;"POINT (-37.0137 65.882831)";"KUM";"1806";"Kuummiut                      ";153
58;"POINT (-21.980381 70.418491)";"UUN";"1901";"Uunarteq                      ";155
59;"POINT (-22.383168 70.466563)";"ITR";"1902";"Itterajivit                   ";156
60;"POINT (-22.652203 70.732383)";"NRI";"1906";"Nerlerit Inaat                ";157
61;"POINT (-50.730525 67.017412)";"KAN";"0820";"Kangerlussuaq                 ";158
1;"POINT (-44.285047 60.146706)";"APL";"0102";"Aappilattoq                   ";82
3;"POINT (-44.819657 60.193324)";"TAQ";"0104";"Tasiusaq                      ";84
54;"POINT (-38.967436 65.532719)";"ISO";"1803";"Isertoq                       ";150
56;"POINT (-37.768103 65.882364)";"TIN";"1805";"Tiilerilaaq                   ";152
2;"POINT (-44.663661 60.003254)";"NKJ";"0103";"Narsarmijit                   ";83
